0	32614
1	538
2	25104
3	38803
4	86501
5	915
6	229
7	104295
8	64631
9	3475
10	2049
11	48
12	10311
13	140440
14	63431
15	96940
16	2775
17	382
18	9161
19	18274
20	8780
21	32286
22	1846
23	476
24	2728
25	56
26	23640
27	92
28	22826
29	23963
30	15137
31	19617
32	6491
33	11302
34	4557
35	2500
36	174
37	2222
38	159
39	7731
40	1
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	15043
49	20793
50	311
51	542
52	132
53	48
54	447
55	329567
56	1383
57	100149
58	2611
59	2699
60	9901
61	53
62	100608
63	42068
64	29604
65	209
66	2120
67	352
68	520
69	153959
70	59
71	2138
72	7788
73	410
74	165
75	0
